// this dataset is used to predict the quality of red wine based on various physicochemical properties.

// you can visit
//    http://archive.ics.uci.edu/ml/datasets/Wine+Quality
// to see more about this dataset.

// the number of features

20

// The feature names followed by a dash and then the legal values of this feature

fixedAcidityGt47 - T F

volatileAcidityGt17 - T F
volatileAcidityGt29 - T F

citricAcidGt30 - T F

residualSugarGtMean - T F

chloridesGt9 - T F

freeSulfurDioxideGtMean - T F

totalSulfurDioxideGt27 - T F
totalSulfurDioxideGt37 - T F
totalSulfurDioxideGt54 - T F

densityGt18 - T F
densityGt41 - T F

pHGtMean - T F

sulphatesGt12 - T F
sulphatesGt15 - T F
sulphatesGt19 - T F
sulphatesGt44 - T F

alcoholGt22 - T F
alcoholGt33 - T F
alcoholGt47 - T F

// the class labels

lowToMid
midToHigh

// the number of examples (will read this many in; ok to have more in the file)

892

// the examples

trainEx580 lowToMid F T T F F T F F F F T T T T T T F T F F
trainEx781 lowToMid F T F F T T T T F F T T T T T F F F F F
trainEx226 midToHigh F T F T F T F F F F T F F T T T F T T T
trainEx227 lowToMid F T F T F T T T T F T T F T F F F F F F
trainEx116 lowToMid F T F F F T T F F F T T T T T T F F F F
trainEx121 midToHigh T T F T F F F F F F T T F T T F F F F F
trainEx52 lowToMid F T F F T T F F F F T T T F F F F T T F
trainEx593 lowToMid F T T F T T F F F F T T F T T F F F F F
trainEx669 midToHigh F T T F F T F F F F T T F T T F F F F F
trainEx600 midToHigh T T T F F T T F F F T T F T F F F T F F
trainEx859 midToHigh T F F T F T F F F F T T F T T T T F F F
trainEx633 lowToMid F T T F F T T T F F T T T T F F F F F F
trainEx749 midToHigh F F F T F T T F F F T F F T F F F T T F
trainEx872 lowToMid F T T F F T F F F F T T F T T F F F F F
trainEx315 lowToMid T T T T T T T T F F T T F T T T F F F F
trainEx620 lowToMid F T F F F F T F F F T F T T T F F F F F
trainEx108 midToHigh F F F T F T F F F F T T F T T T F F F F
trainEx70 lowToMid F T T F F T F F F F T T T F F F F T F F
trainEx827 midToHigh F T T F F T T T F F T T F T F F F F F F
trainEx820 lowToMid F F F T T F F T T F T T F T F F F T T T
trainEx226 midToHigh F T F T F T F F F F T F F T T T F T T T
trainEx536 midToHigh F T T F F F T F F F T T T T T F F T F F
trainEx486 midToHigh F F F T F F F F F F T F F T F F F T T F
trainEx786 lowToMid F T T T F T F F F F T T F T F F F T F F
trainEx711 lowToMid T T T T F F F F F F T T F T F F F T F F
trainEx783 lowToMid F T T F F T T F F F T F T F F F F T T F
trainEx189 lowToMid F T T F F T F F F F T T F T T F F F F F
trainEx491 lowToMid F T T F F F T F F F T T T T F F F T T F
trainEx200 midToHigh F T F F T T F F F F T T F T F F F T F F
trainEx816 midToHigh F T F T T F T F F F T F T T T T F T T T
trainEx886 midToHigh F T T F F T T F F F T F T T F F F T T F
trainEx872 lowToMid F T T F F T F F F F T T F T T F F F F F
trainEx349 midToHigh F T T F F T T F F F T F T T T F F T F F
trainEx510 lowToMid F T T F F T F F F F T T F F F F F F F F
trainEx354 lowToMid F T T F F F F F F F T F T F F F F T T F
trainEx340 lowToMid F T F T F T T F F F T T T F F F F F F F
trainEx439 lowToMid F T T F F T F F F F T T F T T F F F F F
trainEx179 midToHigh F F F F F T F F F F T T T T T T F T F F
trainEx801 midToHigh T F F T F T T F F F T T F T T T F T T T
trainEx812 lowToMid F T F T F T T T F F T T T T T T F T T F
trainEx839 midToHigh F T T F F T F F F F T T T T F F F F F F
trainEx474 midToHigh T T F T F T F F F F T T F T T T F T F F
trainEx667 lowToMid F T T F F T T T T F T F T F F F F T F F
trainEx45 lowToMid F T F F F T T F F F T T T T T F F F F F
trainEx857 lowToMid T T T T F T F F F F T T F T T F F T F F
trainEx558 midToHigh F T F F F T F F F F T T F T T F F T F F
